日付,銘柄,株価,限月,コールスト,コール終値,コール理論,コールIV,プットスト,プット終値,プット理論,プットIV,原資産IV
2025-10-09,6762,2281.5,202511,2400.0,172.47,48.08546415635181,0.358503,2200.0,311046762,56.77400603347348,,0.358503
2025-10-09,6861,59120.0,202511,62000.0,4202.17,1179.5201300315966,0.338518,56000.0,311166861,1006.1906771132508,,0.338518
2025-10-09,6954,4715.0,202511,5000.0,348.93,56.036999892249696,0.287594,4400.0,311046954,42.12968085868465,,0.287594
2025-10-09,7203,2947.5,202511,3100.0,211.02,51.97458653320132,0.324358,2800.0,311157203,48.64649015540556,,0.324358
2025-10-09,7974,12665.0,202511,13250.0,951.2,328.79240844497326,0.387942,12000.0,311077974,277.4077580046214,,0.387942
2025-10-09,8035,29700.0,202511,31000.0,2702.68,1271.6203349405223,0.533373,28250.0,311438035,1134.418492960831,,0.533373
2025-10-09,8306,2360.0,202511,2500.0,178.06,33.485343699083614,0.309446,2200.0,311158306,24.65818925289335,,0.309446
2025-10-09,9432,153.0,202511,150.0,1.7,4.527504619189116,0.160064,150.0,311069432,1.5275046191891093,,0.160064
2025-10-09,9984,22965.0,202511,24000.0,2386.9,1228.881620156344,0.632585,21750.0,311319984,1079.670309756989,,0.632585
2025-10-10,2914,4904.0,202511,5250.0,379.27,30.03293911259368,0.241255,4700.0,311152914,54.70019378930601,,0.241255
2025-10-10,3382,1911.0,202511,2000.0,113.42,22.277010111119296,0.249843,1800.0,311013382,14.990050642532536,,0.249843
2025-10-10,4063,5020.0,202511,5250.0,334.13,95.32247783116236,0.320972,4800.0,311204063,91.12133005110536,,0.320972
2025-10-10,4502,4222.0,202511,4400.0,235.5,52.62940820145809,0.246382,4000.0,311114502,37.10399083380173,,0.246382
2025-10-10,5108,6824.0,202511,7000.0,277.41,94.09470164221057,0.212047,6500.0,311025108,48.6416471245384,,0.212047
2025-10-10,5401,599.5,202511,620.0,34.08,12.530880705291423,0.304466,560.0,311115401,6.283868619537742,,0.304466
2025-10-10,5713,5018.0,202511,5500.0,528.73,41.42717898309991,0.323493,4800.0,311065713,92.97614009653216,,0.323493
2025-10-10,5802,4535.0,202511,4800.0,343.85,71.51793081661435,0.323559,4400.0,311045802,106.4538952461328,,0.323559
2025-10-10,6098,8122.0,202511,8500.0,607.77,210.9599560593097,0.389112,7750.0,311146098,197.6860198750819,,0.389112
2025-10-10,6301,5325.0,202511,5500.0,292.2,108.25275620867863,0.295026,5000.0,311156301,57.75728944782145,,0.295026
2025-10-10,6501,4414.0,202511,4600.0,337.13,139.37817260503994,0.427076,4200.0,311176501,120.3078890365789,,0.427076
2025-10-10,6503,3927.0,202511,4200.0,324.28,46.10700155030872,0.307982,3800.0,311036503,81.86244440614041,,0.307982
2025-10-10,6594,2672.0,202511,2800.0,185.35,52.44867664997332,0.333105,2600.0,311036594,68.46444279948378,,0.333105
2025-10-10,6702,3856.0,202511,4000.0,224.08,73.71043238553602,0.297371,3600.0,311026702,37.77399235729104,,0.297371
2025-10-10,6723,1796.5,202511,1900.0,158.94,50.68576236762169,0.442534,1700.0,311036723,48.40667689349277,,0.442534
2025-10-10,6752,1870.0,202511,1950.0,150.85,65.39760894611493,0.459838,1800.0,311216752,65.44263715332193,,0.459838
2025-10-10,6758,4461.0,202511,4700.0,372.89,122.58570681474134,0.423944,4228.0,311176758,114.17393478595568,,0.423944
2025-10-10,6762,2211.5,202511,2400.0,222.25,30.14304116971141,0.366241,2200.0,311046762,86.71609487075261,,0.366241
2025-10-10,6861,60440.0,202511,63000.0,4029.81,1350.4618620688016,0.342712,57000.0,311176861,977.7584344387888,,0.342712
2025-10-10,6954,4780.0,202511,5000.0,322.37,93.73262275216416,0.32754,4600.0,311056954,100.0905683161982,,0.32754
2025-10-10,7203,2898.5,202511,3000.0,171.41,64.51984036032218,0.319576,2800.0,311157203,62.17612054957408,,0.319576
2025-10-10,7974,12385.0,202511,13000.0,949.9,306.8151263973623,0.387104,11750.0,311067974,275.3826439696445,,0.387104
2025-10-10,8035,29280.0,202511,30500.0,2617.75,1293.9434711792055,0.538823,27750.0,311418035,1095.2040731579036,,0.538823
2025-10-10,8306,2285.0,202511,2400.0,156.05,37.42765502332293,0.308047,2200.0,311158306,43.64379345714076,,0.308047
